number,value,state,net_pnl,max_drawdown,sharpe_like,maker_fee,volume_cap_ratio,fill_on_touch,rng_seed,MIN_SPREAD,BASE_SPREAD_raw,MAX_SPREAD,ORDER_LEVELS,MIN_ORDER_SIZE,ORDER_SIZE_INCREMENT,MAX_POSITION,INVENTORY_EXTREME,VOLATILITY_WINDOW,VOLATILITY_STD,STOP_LOSS_PCT,TAKE_PROFIT_PCT
0,0.0076679999999999995,1,0.008943,0.0051,0.0343,0.00045350256047689704,0.5769432715637087,True,10,5.6615155062096477e-05,0.00018319773496680504,0.0005354680766285416,7,0.06068798856252805,0.05350722236819961,0.6160367864531583,0.6766086531951544,113,2.6311931161400213,0.0059640576589008645,0.0020683619430958947
1,0.01004125,1,0.011293,0.005007,0.0431,-8.860174895366089e-05,0.24352694557321952,True,9,0.0008600214717197376,0.0001266567672126507,0.009081875033843716,7,0.05183694085035826,0.03814485961159545,4.525430921711495,0.9692744152679524,190,1.4755101611965185,0.010918457882971409,0.002320122835422555
2,0.0,1,0.0,0.0,0.0,-2.6360504789316702e-05,0.3260987349724345,False,7,6.330275917516219e-05,0.0003663321518605961,0.0008381366821376366,6,0.02135012073338291,0.0015559143324530077,1.4696564446693396,0.8920723262059903,100,1.6701660274864125,0.008533221086798772,0.009016420983081464
3,0.0,1,0.0,0.0,0.0,0.00020986612242482292,0.5605580958651253,False,4,0.00013748355366883372,0.0006316019723917292,0.005767646563966917,1,0.0031304675689707573,0.0025537525203699453,0.025334916842665537,0.6705144983134538,164,1.9942571197618992,0.0027350206887584816,0.01135926680354034
4,0.010566250000000001,1,0.011813,0.004987,0.0451,-7.944758077935135e-06,0.395002389870995,True,3,0.0007032734548646127,0.0027530784247190797,0.011967494412780949,3,0.007969804105737346,0.007085271358811163,0.3141750520543411,0.8091002617142172,103,2.768756641033833,0.01771705387119046,0.00934977770318556
5,0.00917175,1,0.010432,0.005041,0.0399,-0.00022241441229893543,0.43664834782073014,True,8,0.0006112763284519956,0.0034345678167121423,0.013207812925268165,4,0.002426218185607126,0.0015431512401811115,0.010009158854671595,0.7732535247580624,104,1.860201948277801,0.01026536439309572,0.0027013721980716117
6,0.0076932500000000004,1,0.008968,0.005099,0.0344,0.0004497078174218731,0.30299318922545804,True,5,0.00017695597219447785,0.0021073788339149354,0.004252775453809036,3,0.11961608757924336,0.07544053746902657,3.99740103901206,0.676937098086506,65,2.73118640401818,0.00207996744617761,0.012759395658984174
7,0.010034,1,0.011286,0.005008,0.0431,-8.977932720519539e-05,0.08517183959512006,True,7,0.0006344457445276803,0.0006799555010587028,0.0036542060304352005,1,0.052081068209159746,0.025162085184186746,0.15426486908391196,0.7879404899438532,41,1.0661371165194788,0.0037424190828886823,0.009872583117807168
8,0.0,1,0.0,0.0,0.0,0.0005984583606506733,0.5555234540998394,False,5,5.721998511918124e-05,0.0034599853115828043,0.011258318949370611,1,0.028485838455138465,0.013957966279237895,0.549314761320913,0.7451099988664461,142,1.0996000907295176,0.003660012938163716,0.004435560303674761
9,0.0086475,1,0.009913,0.005062,0.038,0.0003030010943173813,0.08987973260224727,True,8,5.913162461489516e-05,0.0025227863909047374,0.007512415214933194,4,0.006540152115869883,0.002761472203285725,0.039078502592470934,0.7443126033565667,183,1.0891686887205039,0.010881669876765011,0.01488097631535711
10,0.01051075,1,0.011758,0.004989,0.0449,-1.6481797880376505e-05,0.31692056045533784,True,2,0.00014250621301976338,0.00429382498342465,0.01447379994464796,8,0.06414573519186222,0.05552376988129701,0.5829793869035794,0.6394722846170962,140,2.483611127120449,0.007641368625400318,0.0024803749130244955
11,0.0097755,1,0.01103,0.005018,0.0422,-0.0001295667169743119,0.33145158761828797,True,1,0.0003041123921373578,0.004107156882431961,0.01745226550387001,2,0.003779284732407845,0.0034743612638435577,0.07835493103679744,0.798689080887591,138,2.750357761326032,0.013582667291945872,0.003740949784014029
12,0.010133,1,0.011384,0.005004,0.0435,-7.460131097365149e-05,0.39864110510857914,True,2,0.0002783362693270682,0.003900843588828823,0.018281555134047143,7,0.07916584403791876,0.05347063138058621,1.0662660177715253,0.6196075275496726,163,1.7510125520001916,0.008543779138857127,0.004311146874328392
13,0.0,1,0.0,0.0,0.0,-0.00018382844200491284,0.2303139236706192,False,1,0.00019015679725914886,0.0018571672960346391,0.019549985896320995,8,0.11722432052186157,0.09949498245391764,12.490570305037059,0.7137398872834932,155,2.8828034636409274,0.00422620054717848,0.004086424522780757
14,0.01021275,1,0.011463,0.005001,0.0438,6.231486865502882e-05,0.2177874286298206,True,6,0.0001538185423302736,0.003803284558064704,0.012859426317546538,5,0.007484504882237847,0.006326091670761971,0.26224845205594133,0.6190839012714946,145,2.4263603062282266,0.00745104706310782,0.002209429805330103
15,0.009101,1,0.010362,0.005044,0.0397,-0.00023327624847756817,0.39446468910014953,True,2,0.0009443411445679088,0.0008002150828918473,0.0023710407775690253,3,0.00459564454047275,0.004359450206944236,0.16992295234973462,0.7894574663085572,21,2.80378844179859,0.01485031316341784,0.007012839620668804
16,0.010463249999999999,1,0.011711,0.004991,0.0447,2.3823835308650454e-05,0.31136683082959826,True,3,0.0008883890878316858,0.0014006975279962151,0.008419286718492585,5,0.0012813067982096454,0.00019270979591807532,0.08447201047367262,0.9711271306173395,93,2.676589788759317,0.01819585665372849,0.009837801823560368
17,0.01041075,1,0.011659,0.004993,0.0445,3.179582514940744e-05,0.4059588882119781,True,3,0.0007584057371877619,0.0017367800869264587,0.00910286974006529,3,0.01604471102619703,0.009715035162982508,0.3565548991673702,0.6655623891029429,137,2.4302574555107217,0.015509927592675336,0.013729258248184323
18,0.0,1,0.0,0.0,0.0,0.00014621257106079119,0.44656248496304535,False,1,0.0006254960396582285,0.0012802911521545325,0.010750995513432346,3,0.0074536956476788105,0.0066315384873871334,0.27852513439945326,0.8083418036912183,97,2.3561719764020546,0.018777160405076793,0.02466892930589739
19,0.00994125,1,0.011194,0.005011,0.0428,-0.00010408841212593377,0.2197254069702197,True,2,5.413802866917706e-05,0.000495534801492169,0.001813375459719049,7,0.0558537404641729,0.04019253733363998,0.848388083005081,0.6337940912311678,118,2.1591090041538115,0.006845786836826819,0.0024310083814860976
20,0.0092635,1,0.010523,0.005038,0.0403,0.00020822799000692365,0.07342131839170787,True,2,0.0001604140623986493,0.0030014967937970643,0.014007353324412039,5,0.07797250810183033,0.035271533395516336,0.7998682461374951,0.8374076109094865,149,2.311347195926586,0.009466740558035718,0.0020053330373998477
21,0.00842625,1,0.009694,0.005071,0.0371,0.0003369223963639596,0.2643401003917015,True,1,0.00020302240521226787,0.002109690147502442,0.013688015847008716,6,0.05830899087670414,0.025781512714578167,0.6580920293661991,0.6368450866833346,170,2.4085503525430245,0.007533461979047115,0.0023095727559148795
22,0.00898875,1,0.010251,0.005049,0.0392,0.0002504827196404554,0.2581912664682576,True,2,0.0009946143430119214,0.003804974866069792,0.00773848288191927,6,0.001351485146027978,0.00017142868271125564,0.08078011267817793,0.8812705664165437,108,2.499604378304812,0.013593012397641505,0.00949571252009868
23,0.00840525,1,0.009673,0.005071,0.0371,0.00034023438814914794,0.27990621552378075,True,4,0.0007497536627543501,0.002268478009997003,0.006856300612866543,5,0.0028049477948965717,0.00038115270860021784,0.0972631318062065,0.9860039279289089,114,2.6784540763646856,0.015155201365505338,0.006914735116830972
24,0.010243249999999999,1,0.011493,0.004999,0.0439,-5.7609966447392184e-05,0.25794164875230424,True,4,0.0005270070217846929,0.0010590890647036288,0.006321602332209323,5,0.005906078157565839,0.00013442725311203717,0.11660552603752534,0.9822092576836623,83,2.6789271617017834,0.01975061147723328,0.006351454146274063
25,0.01054925,1,0.011796,0.004987,0.045,-1.0538873158668446e-05,0.40148508541445554,True,4,0.0003294981282867549,0.0030706396348223154,0.010253064273694146,5,0.03761560917528944,0.015522455762937483,0.3222351091466101,0.872982215442247,91,2.702318617109396,0.017565736782675458,0.008882248553380854
26,0.00999575,1,0.011248,0.005009,0.043,-9.561171772520757e-05,0.43726538433123896,True,2,0.00022686736148188965,0.001758248521787241,0.009907131395544938,8,0.0899276761802475,0.06707773955897342,1.9094211051141372,0.6204316639391763,152,2.8808274781447363,0.015597493664850994,0.0023673968931249676
27,0.010566250000000001,1,0.011813,0.004987,0.0451,7.955093069078917e-06,0.37628846753631434,True,4,0.00021494152054152852,0.0029053957094346675,0.011436646382512213,4,0.048752484351903415,0.019273536035028394,0.4080668060554704,0.8048875747503849,59,2.79734689863485,0.014798345447327972,0.004104909953971381
28,0.0101795,1,0.01143,0.005002,0.0436,6.740471120953535e-05,0.2907815701417233,True,4,5.846234972983066e-05,0.003951462916448252,0.011751617410074381,7,0.05128513882513469,0.01840637123915896,0.5594398541267077,0.7103485456635805,176,2.858448894310414,0.004931921621290837,0.0041315581102395445
29,0.00955125,1,0.010808,0.005027,0.0413,0.00016391345226783827,0.4191821623102774,True,2,0.00027806195111139463,0.0030350775235225345,0.010733632937479006,4,0.05678914182865076,0.01961128066614312,0.43937355617150614,0.7885902300614919,28,2.7218875711065267,0.01776204410073057,0.007171377441318417
30,0.009324250000000001,1,0.010583,0.005035,0.0405,0.00019886623579398068,0.5381043335184258,True,5,0.00033142812349591915,0.004108049910938062,0.010683650872160527,6,0.02379988787244804,0.017906805068174252,0.3288721154920195,0.8875700762596643,31,2.6973125246869776,0.01895165787165892,0.004910147850005488
31,0.009413,1,0.010671,0.005032,0.0408,-0.00018526653119356283,0.5096602477401605,True,6,0.00025035293815595707,0.004270237232108332,0.01085463143842018,5,0.010492074629609001,0.009843332115783494,0.25997030527017523,0.8032296318011658,109,2.546884111930991,0.009477943543628495,0.011974970012139041
32,0.0102905,1,0.01154,0.004998,0.0441,-5.029228968349076e-05,0.33899878998641875,True,2,0.00041600985289260936,0.0036376447947167397,0.014436000522983222,6,0.05358535208507125,0.04791407735915154,0.5009574268211472,0.884554220419735,130,2.3548526943009764,0.018303973379099867,0.009346006084194584
33,0.0,1,0.0,0.0,0.0,0.00013336503656853326,0.37573557230222787,False,3,0.0001210539675347999,0.0024525884400537845,0.014122101885968689,3,0.0704255356216739,0.055998489312930486,0.4596978606817356,0.8480416682145112,101,2.751349013018223,0.011243242765557432,0.0029154820281328663
34,0.00922425,1,0.010484,0.005039,0.0401,-0.0002143313437296503,0.3989012039606741,True,6,0.00012611511357181866,0.002748593811093609,0.01430732973512906,4,0.1340294098739932,0.1324021999174182,0.8194442741639231,0.8996613377705415,90,2.9167545790366844,0.009260755518402951,0.0031441164137539033
35,0.00989775,1,0.011151,0.005013,0.0426,-0.00011066248173571507,0.45225876917180774,True,4,0.0006524908986021577,0.0016612560442904052,0.013690800294633864,1,0.015180549220696588,0.01318640157416803,0.20210660851370585,0.846081413053259,102,2.7455713620599482,0.00977206303328813,0.008321055836148143
36,0.01050575,1,0.011753,0.004989,0.0448,-1.7279853522002047e-05,0.17635329012413214,True,6,0.00011418111332676813,0.0017987089212577784,0.009732331136346297,5,0.08678884963333754,0.026902869569937052,0.6880897032846407,0.7176414709315991,59,2.8764340731464393,0.014066265246553767,0.0079607412637656
37,0.01051775,1,0.011765,0.004989,0.0449,1.5403149757845717e-05,0.20644152734304771,True,2,0.000157909826491306,0.002803736279193917,0.010096396793030094,8,0.16651322922071676,0.08006874165098078,1.928892730468142,0.7135014662021102,73,2.608485420186657,0.005308725699592,0.0038680448740878886
38,0.0,1,0.0,0.0,0.0,3.837601666546747e-05,0.478825882519966,False,5,0.0003708354200791832,0.0036677215985014343,0.012238954052278365,2,0.08152672460810825,0.06192869883828066,0.34874486534726973,0.902526340138668,55,2.7114585400329405,0.01616877020680067,0.013766072209023136
39,0.0,1,0.0,0.0,0.0,-4.427957446660132e-06,0.1701881954220913,False,3,0.00013178422247153192,0.0032441595963805213,0.009263420034855366,8,0.08118963694602956,0.06980506877644571,2.157303630206674,0.6967881154804125,48,2.0280051616804164,0.006045197611668778,0.004457062366161345
40,0.0104905,1,0.011738,0.00499,0.0448,-1.9579633176754273e-05,0.1831827196299227,True,2,0.00018840992488046746,0.0013546424536656507,0.005944024659685893,8,0.18740617461013612,0.16171902702244462,2.7128011002440724,0.8388303267273407,80,2.653364831207548,0.004256814914607286,0.00318939590556266
41,0.01031675,1,0.011566,0.004997,0.0441,-4.6243670893043726e-05,0.23354009807112971,True,1,0.0001963442897157075,0.001568111956753337,0.004696850203813501,7,0.1817115835673536,0.1646491957823538,22.889271966301653,0.6831023725274702,54,2.8971477149333555,0.007518011133093958,0.003888128192929797
42,0.0105865,1,0.011833,0.004986,0.0451,4.817260906192079e-06,0.29602017872397546,True,4,0.00018370735316134532,0.0020069684935626756,0.010751810193009578,6,0.17081334283855024,0.09969648177930192,6.402060152211129,0.614390081080094,94,2.243208595556139,0.0024620063498667208,0.002159231307819427
43,0.01051275,1,0.01176,0.004989,0.0449,-1.6243231773578903e-05,0.36231689044323645,True,3,7.085777988387122e-05,0.004988881870967992,0.011757226049596056,8,0.0310107684423788,0.015619492691958704,0.4310962897331297,0.6236675702294434,132,2.2091337055031244,0.00890992976677482,0.004062577993678198
44,0.01004525,1,0.011297,0.005007,0.0431,-8.804574541599731e-05,0.2878287565773786,True,4,0.00020025228467679529,0.0012622837672970246,0.008809164511172193,6,0.07079677205511706,0.06792247060828976,5.519506987240721,0.6701944160183357,83,2.5801470394097366,0.0022216009901382897,0.003284332297953555
45,0.01051475,1,0.011762,0.004989,0.0449,-1.5887637843905927e-05,0.2830428792524374,True,5,0.000180906148842107,0.004049563578756196,0.010170610257058817,7,0.1586942553354258,0.10920870136340731,6.400213444654425,0.9972726482950728,43,2.699870599146652,0.014554083136204599,0.012121880369798074
46,0.009918,1,0.011171,0.005012,0.0427,0.00010759932313491241,0.5866221919013306,True,2,0.0006002891317831588,0.0020078168531452185,0.009182581067428593,4,0.038356967318736994,0.019719590369223917,2.465632225848688,0.8078945131046439,112,2.872710486099681,0.01805439849263527,0.013027904387295118
47,0.01055525,1,0.011802,0.004987,0.045,9.655284018944492e-06,0.5404457582878299,True,3,0.0009781781876919541,0.003459503507850577,0.010721767582708442,4,0.009356438954410125,0.007728029216913644,0.2835706184180461,0.7613694687708396,91,2.711868888271257,0.017350668607223698,0.004387682719802945
48,0.009515000000000001,1,0.010772,0.005028,0.0412,0.00016958551693298783,0.3463064564469453,True,2,0.0001044859277264046,0.0011093708460007388,0.009123074877483804,3,0.08596775129102756,0.07977820573784608,3.565870479025957,0.6336978996262637,122,1.6844628580597687,0.0020150916538817917,0.002420469838695152
